Age Group,Year,Period,Unemployment_Rate
16-19,2024,M09,14.3
16-19,2024,M08,14.1
16-19,2024,M07,12.4
16-19,2024,M06,12.1
16-19,2024,M05,12.3
16-19,2024,M04,11.7
16-19,2024,M03,12.6
16-19,2024,M02,12.5
16-19,2024,M01,10.6
16-19,2023,M12,11.9
16-19,2023,M11,11.4
16-19,2023,M10,13.1
16-19,2023,M09,11.8
16-19,2023,M08,12.3
16-19,2023,M07,11.3
16-19,2023,M06,11.2
16-19,2023,M05,10.3
16-19,2023,M04,9.3
16-19,2023,M03,9.9
16-19,2023,M02,11.1
16-19,2023,M01,10.5
16-19,2022,M12,10.5
16-19,2022,M11,11.3
16-19,2022,M10,10.6
16-19,2022,M09,11.4
16-19,2022,M08,10.2
16-19,2022,M07,11.2
16-19,2022,M06,10.9
16-19,2022,M05,10.5
16-19,2022,M04,10.6
16-19,2022,M03,10.3
16-19,2022,M02,10.2
16-19,2022,M01,11.2
16-19,2021,M12,11.0
16-19,2021,M11,10.9
16-19,2021,M10,11.3
16-19,2021,M09,11.3
16-19,2021,M08,11.1
16-19,2021,M07,10.4
16-19,2021,M06,11.1
16-19,2021,M05,9.7
16-19,2021,M04,12.0
16-19,2021,M03,13.0
16-19,2021,M02,13.9
16-19,2021,M01,15.0
16-19,2020,M12,15.8
16-19,2020,M11,13.8
16-19,2020,M10,13.9
16-19,2020,M09,16.0
16-19,2020,M08,16.6
16-19,2020,M07,19.2
16-19,2020,M06,22.4
16-19,2020,M05,30.4
16-19,2020,M04,32.8
16-19,2020,M03,14.3
16-19,2020,M02,11.4
16-19,2020,M01,12.6
16-19,2019,M12,12.6
16-19,2019,M11,12.0
16-19,2019,M10,11.9
16-19,2019,M09,12.2
16-19,2019,M08,12.3
16-19,2019,M07,12.6
16-19,2019,M06,12.6
16-19,2019,M05,12.9
16-19,2019,M04,13.1
16-19,2019,M03,12.7
16-19,2019,M02,13.8
16-19,2019,M01,13.2
16-19,2018,M12,12.6
16-19,2018,M11,12.4
16-19,2018,M10,12.1
16-19,2018,M09,12.3
16-19,2018,M08,12.8
16-19,2018,M07,12.9
16-19,2018,M06,12.6
16-19,2018,M05,13.1
16-19,2018,M04,12.7
16-19,2018,M03,13.2
16-19,2018,M02,14.4
16-19,2018,M01,13.8
16-19,2017,M12,13.6
16-19,2017,M11,16.2
16-19,2017,M10,14.0
16-19,2017,M09,12.9
16-19,2017,M08,13.9
16-19,2017,M07,13.2
16-19,2017,M06,13.6
16-19,2017,M05,14.2
16-19,2017,M04,14.4
16-19,2017,M03,13.4
16-19,2017,M02,14.6
16-19,2017,M01,14.6
16-19,2016,M12,14.9
16-19,2016,M11,15.5
16-19,2016,M10,15.8
16-19,2016,M09,16.1
16-19,2016,M08,15.7
16-19,2016,M07,15.2
16-19,2016,M06,16.0
16-19,2016,M05,15.9
16-19,2016,M04,16.1
16-19,2016,M03,16.0
16-19,2016,M02,15.4
16-19,2016,M01,15.9
16-19,2015,M12,16.2
16-19,2015,M11,15.3
16-19,2015,M10,15.9
16-19,2015,M09,16.5
16-19,2015,M08,16.9
16-19,2015,M07,16.4
16-19,2015,M06,18.0
16-19,2015,M05,17.8
16-19,2015,M04,17.2
16-19,2015,M03,17.5
16-19,2015,M02,16.9
16-19,2015,M01,18.5
16-19,2014,M12,16.9
16-19,2014,M11,17.2
16-19,2014,M10,18.7
16-19,2014,M09,20.1
16-19,2014,M08,19.4
16-19,2014,M07,20.3
16-19,2014,M06,20.4
16-19,2014,M05,19.3
16-19,2014,M04,19.4
16-19,2014,M03,20.8
16-19,2014,M02,21.4
